variant,k_removed,removed_feature,auc_mean,auc_sd,mcc_mean,mcc_sd,auc_oof
CLINICAL,17,zaburzenia_homeostazy_glukozy_6,0.5266666666666666,0.15593329581511503,-0.014269696094770759,0.15484919744547546,0.49374999999999997
CLINICAL,18,ile_lat_pali,0.5638095238095239,0.10635157542966575,0.0615902543628003,0.2336527726557603,0.54625
CLINICAL,19,otylosc_bmi_30,0.5161904761904762,0.1741386316661204,-0.09868740787134353,0.2518469802062798,0.47374999999999995
CLINICAL,20,leukocytoza_przyjecie_10000,0.5085714285714286,0.13765941078867372,0.04196233178612773,0.22895713138326418,0.47
BIOMARKERS,0,NONE,0.9480952380952381,0.04938396004983885,0.6898774157739029,0.09117051381432635,0.914375
BIOMARKERS,1,72_kda_pro_mmp_2,0.8104761904761905,0.14055284429998677,0.5516580725449327,0.18853517425391317,0.765625
BIOMARKERS,2,emmprin,0.7028571428571428,0.10388431119942358,0.255212458420902,0.2715756236495834,0.666875
BIOMARKERS,3,wyniki_fgf23_pg_ml,0.6076190476190476,0.1510957708633472,0.11236017456605266,0.13293370496882523,0.61625
BIOMARKERS,4,tnfalfa_pg_ml,0.5442857142857143,0.16440299471482206,-0.08330429300913904,0.25429214640917064,0.559375
BIOMARKERS,5,hdl,0.47333333333333333,0.17857460314638499,-0.04539311361432705,0.31098238829748914,0.53625
BIOMARKERS,6,ldl,0.4833333333333334,0.17723307994234697,0.03802020029934848,0.3144638689991924,0.5075
BIOMARKERS,7,il_6_pg_ml,0.519047619047619,0.1342654493321113,0.04272711677319289,0.30418118436799063,0.48500000000000004
BIOMARKERS,8,non_hdl_calkowity_hdl,0.36619047619047623,0.08265712036168005,-0.16803099668423366,0.21254555297355002,0.37875
BIOMARKERS,9,wyniki_klotho_pg_ml,0.3914285714285715,0.13232612773610758,0.021472887929379337,0.2685554999499695,0.4175
