variant,model,outer_fold,threshold_method,calibration,threshold,sens,spec,ppv,npv,youdenJ
CLINICAL,RF,3,mcc,platt_crossfit,0.43,0.2,0.6666666666666666,0.3333333333333333,0.5,-0.1333333333333333
CLINICAL,RF,4,mcc,platt_crossfit,0.37,0.8,0.0,0.4,0.0,-0.19999999999999996
CLINICAL,RF,5,mcc,platt_crossfit,0.53,0.2,0.8333333333333334,0.5,0.5555555555555556,0.03333333333333344
CLINICAL,RF,1,mcc,uncalibrated,0.62,0.0,1.0,,0.5833333333333334,0.0
CLINICAL,RF,2,mcc,uncalibrated,0.62,0.0,1.0,,0.5833333333333334,0.0
CLINICAL,RF,3,mcc,uncalibrated,0.48000000000000004,0.2,0.6666666666666666,0.3333333333333333,0.5,-0.1333333333333333
CLINICAL,RF,4,mcc,uncalibrated,0.37,0.8,0.0,0.4,0.0,-0.19999999999999996
CLINICAL,RF,5,mcc,uncalibrated,0.61,0.2,0.8333333333333334,0.5,0.5555555555555556,0.03333333333333344
CLINICAL,RF,1,youden,isotonic_crossfit,0.42000000000000004,0.8,0.42857142857142855,0.5,0.75,0.22857142857142865
CLINICAL,RF,2,youden,isotonic_crossfit,0.34,0.8,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.08571428571428585
CLINICAL,RF,3,youden,isotonic_crossfit,0.41000000000000003,0.2,0.6666666666666666,0.3333333333333333,0.5,-0.1333333333333333
CLINICAL,RF,4,youden,isotonic_crossfit,0.38,0.8,0.3333333333333333,0.5,0.6666666666666666,0.1333333333333333
CLINICAL,RF,5,youden,isotonic_crossfit,0.35000000000000003,0.4,0.5,0.4,0.5,-0.09999999999999998
CLINICAL,RF,1,youden,platt_crossfit,0.46,0.8,0.42857142857142855,0.5,0.75,0.22857142857142865
CLINICAL,RF,2,youden,platt_crossfit,0.42000000000000004,0.8,0.42857142857142855,0.5,0.75,0.22857142857142865
CLINICAL,RF,3,youden,platt_crossfit,0.43,0.2,0.6666666666666666,0.3333333333333333,0.5,-0.1333333333333333
CLINICAL,RF,4,youden,platt_crossfit,0.42000000000000004,0.8,0.3333333333333333,0.5,0.6666666666666666,0.1333333333333333
CLINICAL,RF,5,youden,platt_crossfit,0.44,0.6,0.5,0.5,0.6,0.10000000000000009
CLINICAL,RF,1,youden,uncalibrated,0.49,0.6,0.42857142857142855,0.42857142857142855,0.6,0.02857142857142847
CLINICAL,RF,2,youden,uncalibrated,0.44,0.8,0.42857142857142855,0.5,0.75,0.22857142857142865
CLINICAL,RF,3,youden,uncalibrated,0.48000000000000004,0.2,0.6666666666666666,0.3333333333333333,0.5,-0.1333333333333333
CLINICAL,RF,4,youden,uncalibrated,0.44,0.8,0.3333333333333333,0.5,0.6666666666666666,0.1333333333333333
CLINICAL,RF,5,youden,uncalibrated,0.48000000000000004,0.6,0.5,0.5,0.6,0.10000000000000009
FULL,RF,1,f1,isotonic_crossfit,0.01,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,f1,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,f1,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
