variant,outer_fold,model,row_id,y_true,y_prob
BIOMARKERS,2,RF,48,1,0.6656990885870214
BIOMARKERS,2,RF,56,1,0.6766197155718287
BIOMARKERS,2,HGB,4,0,0.047287942636594124
BIOMARKERS,2,HGB,5,0,0.477983901343544
BIOMARKERS,2,HGB,8,0,0.8524195428318831
BIOMARKERS,2,HGB,13,0,0.6255068578043994
BIOMARKERS,2,HGB,14,0,0.03675588148550675
BIOMARKERS,2,HGB,26,0,0.031527951096153035
BIOMARKERS,2,HGB,27,0,0.02577602119315463
BIOMARKERS,2,HGB,33,1,0.7702742328563718
BIOMARKERS,2,HGB,37,1,0.7702742328563718
BIOMARKERS,2,HGB,46,1,0.7901787425754672
BIOMARKERS,2,HGB,48,1,0.780907429163085
BIOMARKERS,2,HGB,56,1,0.8393309830267198
BIOMARKERS,3,LogReg,1,0,0.3476915186780078
BIOMARKERS,3,LogReg,3,0,2.21196073596064e-06
