variant,outer_fold,model,roc_auc,auprc,accuracy,f1,mcc,brier,n_test,pos_rate_test,n_features_train
BIOMARKERS,1,HGB,0.9142857142857144,0.8766666666666667,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.14277760775232218,12,0.4166666666666667,10
BIOMARKERS,2,LogReg,0.6000000000000001,0.5968253968253969,0.5833333333333334,0.6153846153846154,0.23904572186687872,0.2364084597798143,12,0.4166666666666667,10
BIOMARKERS,2,LinearSVM,0.6285714285714286,0.6111111111111112,0.5833333333333334,0.5454545454545454,0.1690308509457033,0.22771378069206916,12,0.4166666666666667,10
BIOMARKERS,2,RF,0.942857142857143,0.9266666666666665,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.1426867261761765,12,0.4166666666666667,10
BIOMARKERS,2,HGB,0.8571428571428572,0.7166666666666667,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.13124841493957104,12,0.4166666666666667,10
BIOMARKERS,3,LogReg,0.8333333333333334,0.71,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.10191020558172607,11,0.45454545454545453,10
BIOMARKERS,3,LinearSVM,0.8333333333333334,0.71,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.11501041660453963,11,0.45454545454545453,10
BIOMARKERS,3,RF,0.9666666666666667,0.9666666666666666,0.8181818181818182,0.8,0.6333333333333333,0.09237018181818182,11,0.45454545454545453,10
BIOMARKERS,3,HGB,0.9333333333333333,0.9266666666666665,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.09195102406356953,11,0.45454545454545453,10
BIOMARKERS,4,LogReg,0.8333333333333334,0.8261904761904761,0.7272727272727273,0.6666666666666666,0.4485426135725303,0.15859285607561502,11,0.45454545454545453,10
BIOMARKERS,4,LinearSVM,0.8666666666666667,0.8528571428571428,0.7272727272727273,0.6666666666666666,0.4485426135725303,0.1748158677128025,11,0.45454545454545453,10
BIOMARKERS,4,RF,1.0,1.0,1.0,1.0,1.0,0.06663781818181819,11,0.45454545454545453,10
BIOMARKERS,4,HGB,0.8666666666666667,0.81,0.8181818181818182,0.8,0.6333333333333333,0.11653526049334996,11,0.45454545454545453,10
BIOMARKERS,5,LogReg,0.8333333333333334,0.8583333333333332,0.6363636363636364,0.6666666666666666,0.3105295017040594,0.23356034387573033,11,0.45454545454545453,10
BIOMARKERS,5,LinearSVM,0.8,0.8392857142857142,0.6363636363636364,0.6666666666666666,0.3105295017040594,0.20784588249995328,11,0.45454545454545453,10
BIOMARKERS,5,RF,0.8666666666666667,0.81,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.13038472727272726,11,0.45454545454545453,10
BIOMARKERS,5,HGB,0.8666666666666667,0.8200000000000001,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.1073185755175424,11,0.45454545454545453,10
