variant,model,metric,mean,ci95_lo,ci95_hi,sd,n_folds
CLINICAL,HGB,accuracy,0.5272727272727272,0.44778131128462,0.6067641432608344,0.09068786213118436,5
CLINICAL,LinearSVM,accuracy,0.4878787878787879,0.38754433340366284,0.5882132423539129,0.11446666361823347,5
CLINICAL,LogReg,accuracy,0.47424242424242424,0.43079950284375385,0.5176853456410947,0.049561900708473106,5
CLINICAL,RF,accuracy,0.562121212121212,0.44516641639900045,0.6790760078434236,0.13342799669870753,5
CLINICAL,HGB,auprc,0.5829682539682539,0.45048640272574614,0.7154501052107617,0.15114205365472572,5
CLINICAL,LinearSVM,auprc,0.5486406926406926,0.43014114951754007,0.6671402357638452,0.13519032332961062,5
CLINICAL,LogReg,auprc,0.4766277056277056,0.4110325739576933,0.5422228372977179,0.07483427214652896,5
CLINICAL,RF,auprc,0.6164357864357863,0.47904673045684226,0.7538248424147305,0.1567404431293076,5
CLINICAL,HGB,brier,0.29833899303306527,0.23417529400920417,0.36250269205692637,0.07320122076795425,5
CLINICAL,LinearSVM,brier,0.25209718574849643,0.23029092845198335,0.2739034430450095,0.02487769063768065,5
CLINICAL,LogReg,brier,0.30644688893474203,0.21591127810422,0.39698249976526406,0.10328764295995584,5
CLINICAL,RF,brier,0.23660782198535407,0.22794035426057305,0.2452752897101351,0.009888289298671337,5
CLINICAL,HGB,f1,0.38383838383838376,0.17134416634022195,0.5963326013365455,0.24242424242424243,5
CLINICAL,LinearSVM,f1,0.05714285714285714,-0.05485714285714285,0.16914285714285712,0.12777531299998798,5
CLINICAL,LogReg,f1,0.5017379679144385,0.37175473395444636,0.6317212018744306,0.1482915036070416,5
CLINICAL,RF,f1,0.4070707070707071,0.1750961632942182,0.639045250847196,0.26464839231312753,5
CLINICAL,HGB,mcc,0.008270586606243604,-0.20055862464925406,0.21709979786174127,0.2382430163545699,5
CLINICAL,LinearSVM,mcc,-0.15701401424440498,-0.37738010677702793,0.06335207828821796,0.2514048789994662,5
CLINICAL,LogReg,mcc,-0.013319312645817738,-0.0803597565031006,0.05372113121146512,0.07648315801359322,5
CLINICAL,RF,mcc,0.07414745178898917,-0.20048677573649187,0.34878167931447024,0.31331673555873446,5
CLINICAL,HGB,roc_auc,0.5714285714285714,0.4703437885315729,0.6725133543255699,0.11532267655535555,5
CLINICAL,LinearSVM,roc_auc,0.4847619047619047,0.34258855204691024,0.6269352574768992,0.16219861288764387,5
CLINICAL,LogReg,roc_auc,0.4552380952380952,0.39463607840330295,0.5158401120728875,0.06913787204907254,5
CLINICAL,RF,roc_auc,0.5942857142857143,0.4930975726879955,0.6954738558834331,0.11544059343335385,5
FULL,HGB,accuracy,0.9666666666666668,0.9013333333333334,1.032,0.07453559924999298,5
FULL,LinearSVM,accuracy,0.8787878787878789,0.7941384911668823,0.9634372664088755,0.09657233927259061,5
FULL,LogReg,accuracy,0.8787878787878787,0.7625326815245932,0.9950430760511642,0.13262985909099695,5
FULL,RF,accuracy,0.9833333333333332,0.9506666666666665,1.0159999999999998,0.03726779962499651,5
FULL,HGB,auprc,0.9533333333333334,0.8618666666666667,1.0448,0.1043498389499902,5
FULL,LinearSVM,auprc,0.9386666666666666,0.8874580849205916,0.9898752484127417,0.058421362150805387,5
FULL,LogReg,auprc,0.9866666666666667,0.9605333333333334,1.0128000000000001,0.02981423969999724,5
FULL,RF,auprc,0.9933333333333334,0.9802666666666667,1.0064000000000002,0.014907119849998644,5
FULL,HGB,brier,0.039239023622287865,-0.020219022323064773,0.0986970695676405,0.06783277170567054,5
FULL,LinearSVM,brier,0.11202423298127817,0.06375530812988311,0.16029315783267323,0.055067651616606275,5
