raw_column,column,dtype_raw,dtype_clean,n_missing,pct_missing,role,unit,note
HbA1C,hba1c,float64,float64,65,42.76,clinical,,
HDL,hdl,float64,float64,2,1.32,biomarker,,
hsCRP max.,hscrp_max,float64,float64,65,42.76,exclude,,
Ht przyjęcie,ht_przyjecie,float64,float64,65,42.76,clinical,,
Ht wypis,ht_wypis,float64,float64,67,44.08,exclude,,
ICD implantable cardioverter defibrillator,icd_implantable_cardioverter_defibrillator,object,object,65,42.76,exclude,,
Il-6 [pg/ml],il_6_pg_ml,float64,float64,69,45.39,biomarker,,
Ile lat?,ile_lat,object,object,99,65.13,exclude,,
Ile lat?.1,ile_lat_1,float64,float64,139,91.45,clinical,,
Ile lat?.2,ile_lat_2,object,object,137,90.13,exclude,,
Ile lat? CRT-D,ile_lat_crt_d,object,object,141,92.76,exclude,,
Ile lat? Miażdżyca t. szyjnych,ile_lat_miazdzyca_t_szyjnych,object,object,148,97.37,clinical,,
Ile lat? Miżdżyca kończyn,ile_lat_mizdzyca_konczyn,float64,float64,148,97.37,clinical,,
Ile lat nie pali?,ile_lat_nie_pali,object,object,131,86.18,exclude,,
Ile lat pali?,ile_lat_pali,float64,float64,129,84.87,clinical,,
Ilość paczek dziennie,ilosc_paczek_dziennie,object,object,130,85.53,exclude,,
Internal ID,internal_id,object,object,0,0.0,id,,
Jaka?,jaka,object,object,151,99.34,clinical,,
Jaka?.1,jaka_1,object,object,96,63.16,clinical,,
Kidnej Failure<15 ml/MIn/m2,kidnej_failure_15_ml_min_m2,object,object,122,80.26,clinical,,
Kidnej insuficiency <60 ml/MIn/m2,kidnej_insuficiency_60_ml_min_m2,object,object,122,80.26,clinical,,
klop,klop,object,object,65,42.76,clinical,,
Krwawienie,krwawienie,object,object,78,51.32,clinical,,
Kwas moczowy,kwas_moczowy,float64,float64,90,59.21,clinical,,
LDL,ldl,float64,float64,3,1.97,biomarker,,
Leukocytoza przyjęcie >10000,leukocytoza_przyjecie_10000,object,object,65,42.76,clinical,,
MIażdżyca kończyn dolnych,miazdzyca_konczyn_dolnych,object,object,66,43.42,clinical,,
MIażdżyca tętnic szyjnych,miazdzyca_tetnic_szyjnych,object,object,67,44.08,clinical,,
MIlurit/diuretyk,milurit_diuretyk,object,object,68,44.74,exclude,,
MPV przyjęcie,mpv_przyjecie,float64,float64,66,43.42,clinical,,
MPV wypis,mpv_wypis,float64,float64,68,44.74,exclude,,
Nabyta wada serca,nabyta_wada_serca,object,object,65,42.76,clinical,,
Nadciśnienie tętnicze (NT),nadcisnienie_tetnicze_nt,object,object,65,42.76,clinical,,
NoAC,noac,object,object,65,42.76,clinical,,
NoN-HDL(całkowity -hdl,non_hdl_calkowity_hdl,float64,float64,2,1.32,biomarker,,
Nr na próbce,nr_na_probce,object,object,65,42.76,id,,
Nr pacjenta,nr_pacjenta,int64,int64,0,0.0,id,,
NYHA,nyha,object,object,120,78.95,clinical,,
Obwód bioder,obwod_bioder,float64,float64,7,4.61,clinical,,
Otyłość BMI >30,otylosc_bmi_30,object,object,7,4.61,clinical,,
P-LCR przyjęcie,p_lcr_przyjecie,float64,float64,66,43.42,clinical,,
P-LCR wypis,p_lcr_wypis,float64,float64,68,44.74,exclude,,
Patient ID,patient_id,object,object,0,0.0,id,,
PCI naczynie obecne,pci_naczynie_obecne,object,object,113,74.34,exclude,,
PCT przyjęcie,pct_przyjecie,float64,float64,66,43.42,clinical,,
PCT wypis,pct_wypis,float64,float64,68,44.74,exclude,,
PDW przyjęcie,pdw_przyjecie,float64,float64,66,43.42,clinical,,
PDW wypis,pdw_wypis,float64,float64,68,44.74,exclude,,
Pętlowy,petlowy,object,object,66,43.42,clinical,,
Płeć,plec,object,object,0,0.0,clinical,,
PLT przyjęcie,plt_przyjecie,float64,float64,65,42.76,clinical,,
PLT wypis,plt_wypis,float64,float64,68,44.74,exclude,,
Pomostowanie aortalNo-wieńcowe (CABG),pomostowanie_aortalno_wiencowe_cabg,object,object,65,42.76,exclude,,
Pomosty,pomosty,object,object,149,98.03,clinical,,
Przewlekła niewydolNość serca (CHF),przewlekla_niewydolnosc_serca_chf,object,object,66,43.42,clinical,,
Przezskórna interwencja wieńcowa (PCI),przezskorna_interwencja_wiencowa_pci,object,object,65,42.76,exclude,,
RBC przyjęcie,rbc_przyjecie,float64,float64,65,42.76,clinical,,
RBC wypis,rbc_wypis,float64,float64,67,44.08,exclude,,
Rodzaj zaburzeń,rodzaj_zaburzen,object,object,125,82.24,clinical,,
Rodzeństwo,rodzenstwo,object,object,81,53.29,clinical,,
Rodzice,rodzice,object,object,80,52.63,clinical,,
Statyna,statyna,object,object,66,43.42,exclude,,
Stymulator,stymulator,object,object,65,42.76,clinical,,
TNFalfa [pg/ml],tnfalfa_pg_ml,float64,float64,4,2.63,clinical,,
Trijglicerydy (TG),trijglicerydy_tg,float64,float64,3,1.97,clinical,,
Troponiny max.,troponiny_max,float64,float64,65,42.76,exclude,,
Typ zawału,typ_zawalu,object,object,0,0.0,target,,
Waga      (kg),waga_kg,float64,float64,7,4.61,clinical,,
WBC przyjęcie,wbc_przyjecie,float64,float64,65,42.76,clinical,,
WBC wypis,wbc_wypis,float64,float64,67,44.08,exclude,,
Wiek w momencie zbiórki,wiek_w_momencie_zbiorki,int64,int64,0,0.0,clinical,,
Wrodzona wada serca,wrodzona_wada_serca,object,object,65,42.76,clinical,,
Wyniki FGF23 pg/ml,wyniki_fgf23_pg_ml,float64,float64,75,49.34,biomarker,,
Wyniki Klotho pg/ml,wyniki_klotho_pg_ml,float64,float64,65,42.76,biomarker,,
Wzrost (cm),wzrost_cm,float64,float64,1,0.66,clinical,,
Zaburzenia homeostazy glukozy >6,zaburzenia_homeostazy_glukozy_6,object,object,65,42.76,clinical,,
Zaburzenia rytmu,zaburzenia_rytmu,object,object,65,42.76,clinical,,
Zapalenie MIęśnia serca,zapalenie_miesnia_serca,object,object,66,43.42,clinical,,
Zapalenie żył kończyn dolnych/ Zakrzepica,zapalenie_zyl_konczyn_dolnych_zakrzepica,object,object,66,43.42,clinical,,
Zatorowość płucna,zatorowosc_plucna,object,object,67,44.08,clinical,,
"Zawał: 0 nigdy, 1 teraz, 2 kiedyś, 3 kiedyś i teraz, a- steMI, b-nsteMI. c- ua",zawal_0_nigdy_1_teraz_2_kiedys_3_kiedys_i_teraz_a_stemi_b_nstemi_c_ua,object,object,65,42.76,exclude,,
